fornavn;Personer 2013;Personer 2014;Personer 2015;Personer 2016;Personer 2017;Personer 2018;Personer 2019
Aage;1476;1422;1383;1347;1315;1275;1245
Aaron;277;306;336;374;402;438;472
Aasmund;313;312;314;313;305;299;297
Abbas;224;233;244;263;271;280;283
Abdi;609;609;611;608;599;592;586
Abdirahman;641;688;750;770;778;788;798
Abdul;797;817;878;957;1015;1037;1054
Abdulkadir;.;212;216;224;222;226;221
Abdullah;477;508;548;632;718;752;783
Abdullahi;506;538;581;591;592;606;611
Abdulrahman;.;.;.;.;228;244;249
Abel;237;280;345;386;457;499;580
Abraham;249;274;296;320;326;338;349
Adam;2799;3062;3306;3486;3693;3877;4106
Adel;.;.;.;.;.;201;206
Adem;.;.;.;.;.;.;206
Adil;.;.;.;.;203;211;219
Adnan;465;488;514;562;592;606;619
Adrian;8366;8689;8969;9203;9412;9635;9843
Agnar;939;928;913;890;858;833;814
Ahmad;827;932;1114;1578;1821;1947;2010
Ahmed;2244;2347;2486;2614;2720;2768;2817
Ahmet;306;315;316;316;323;328;348
Aiden;.;.;.;.;.;.;202
Ailo;210;242;273;308;345;372;410
Aksel;3568;3839;4115;4397;4615;4873;5114
Alan;625;653;693;725;753;772;780
Albert;1330;1412;1505;1591;1681;1762;1873
Alejandro;.;.;212;206;204;209;226
Aleksandar;240;275;302;325;349;378;414
Aleksander;6593;6747;6904;7018;7130;7201;7283
Aleksandr;211;214;226;223;223;238;244
Aleksandrs;.;.;205;208;205;.;204
Alex;665;726;785;841;873;916;951
Alexander;10468;10708;10927;11141;11319;11496;11664
Alexandru;.;.;211;222;230;235;257
Alf;8206;8031;7861;7675;7529;7337;7146
Alfred;1702;1789;1894;2001;2117;2252;2383
Ali;3028;3139;3258;3497;3651;3766;3867
Allan;620;628;629;629;625;624;627
Alv;355;350;341;327;319;306;296
Alvin;394;422;460;488;518;551;583
Amanuel;.;.;223;250;264;282;286
Amar;.;.;.;204;216;220;227
Amer;.;.;.;.;.;203;205
Amin;285;299;322;342;355;370;378
Amir;803;848;889;974;1025;1075;1110
Ammar;.;.;.;215;240;262;271
Amund;2346;2395;2445;2495;2552;2593;2652
Anas;212;247;275;338;381;398;411
Anders;19703;19652;19570;19479;19422;19370;19301
Andre;6367;6384;6397;6413;6435;6461;6478
Andreas;20455;20621;20727;20840;20943;21030;21091
Andrei;233;256;287;297;302;321;338
Andrej;.;207;224;217;209;215;224
Andres;336;344;350;352;351;349;354
Andrew;580;603;623;609;614;625;648
Andris;.;206;212;208;200;209;210
Andrius;475;517;544;552;554;548;551
Andrzej;1819;1877;1910;1854;1848;1817;1822
Annar;263;261;260;256;250;245;236
Ansgar;349;347;338;327;322;309;303
Anthony;440;447;458;452;460;477;489
Anton;1950;2030;2100;2154;2209;2255;2336
Antoni;.;218;255;276;299;307;331
Antonio;445;480;501;526;542;560;583
Anwar;.;.;.;.;.;202;205
