code;parentCode;level;name;shortName;notes;validFrom;validTo
0;;1;Norge;;;;
101;;1;Danmark;;;;
102;;1;Gr�nland;;;;
103;;1;Finland;;;;
104;;1;F�r�yene;;;;
105;;1;Island;;;;
106;;1;Sverige;;;;
111;;1;Albania;;;;
112;;1;Belgia;;;;
113;;1;Bulgaria;;;;
114;;1;Andorra;;;;
115;;1;Estland;;;;
117;;1;Frankrike;;;;
118;;1;Gibraltar;;;;
119;;1;Hellas;;;;
120;;1;Hviterussland;;;;
121;;1;Irland;;;;
122;;1;Kroatia;;;;
123;;1;Italia;;;;
124;;1;Latvia;;;;
126;;1;Malta;;;;
127;;1;Nederland;;;;
128;;1;Liechtenstein;;;;
129;;1;Luxembourg;;;;
130;;1;Monaco;;;;
131;;1;Polen;;;;
132;;1;Portugal;;;;
133;;1;Romania;;;;
134;;1;San Marino;;;;
136;;1;Litauen;;;;
137;;1;Spania;;;;
138;;1;Moldova;;;;
139;;1;Storbritannia;;;;
140;;1;Russland;;;;
141;;1;Sveits;;;;
143;;1;Tyrkia;;;;
144;;1;Tyskland;;;;
146;;1;Slovenia;;;;
148;;1;Ukraina;;;;
152;;1;Ungarn;;;;
153;;1;�sterrike;;;;
154;;1;Vatikanstaten;;;;
155;;1;Bosnia-Hercegovina;;;;
156;;1;Nord-Makedonia;Nord-Makedonia;;;
157;;1;Slovakia;;;;
158;;1;Tsjekkia;;;;
159;;1;Serbia;;Selvstendig stat fra 1.11.2006.;;
160;;1;Montenegro;;Selvstendig stat fra 1.11.2006.;;
161;;1;Kosovo;;Selvstendig stat fra 17. februar 2008;;
162;;1;Guernsey;;Ny landkode fra 1.12.2011;;
163;;1;Jersey;;Ny landkode fra 1.12.2011;;
164;;1;Man;;Ny landkode fra 1.12.2011;;
203;;1;Algerie;;;;
204;;1;Angola;;;;
205;;1;Botswana;;;;
209;;1;St. Helena;;;;
213;;1;Det britiske territoriet i Indiahavet;;;;
216;;1;Burundi;;;;
220;;1;Komorene;;;;
229;;1;Benin;;;;
235;;1;Ekvatorial-Guinea;;;;
239;;1;Elfenbeinskysten;;;;
241;;1;Eritrea;;;;
246;;1;Etiopia;;;;
249;;1;Egypt;;;;
250;;1;Djibouti;;;;
254;;1;Gabon;;;;
256;;1;Gambia;;;;
260;;1;Ghana;;;;
264;;1;Guinea;;;;
266;;1;Guinea-Bissau;;;;
270;;1;Kamerun;;;;
273;;1;Kapp Verde;;;;
276;;1;Kenya;;;;
278;;1;Kongo-Brazzaville;;;;
279;;1;Kongo;;Tidligere Zaire;;
281;;1;Lesotho;;;;
283;;1;Liberia;;;;
286;;1;Libya;;;;
289;;1;Madagaskar;;;;
296;;1;Malawi;;;;
299;;1;Mali;;;;
303;;1;Marokko;;;;
304;;1;Vest-Sahara;;;;
306;;1;Mauritania;;;;
307;;1;Mauritius;;;;
308;;1;Namibia;;;;
309;;1;Niger;;;;
313;;1;Nigeria;;;;
319;;1;Mosambik;;;;
322;;1;Mayotte;;;;
323;;1;R�union;;;;
326;;1;Zimbabwe;;;;
329;;1;Rwanda;;;;
333;;1;S�o Tom� og Pr�ncipe;;;;
336;;1;Senegal;;;;
337;;1;Den sentralafrikanske republikk;;;;
338;;1;Seychellene;;;;
339;;1;Sierra Leone;;;;
346;;1;Somalia;;;;
355;;1;S�r-Sudan;;Ny landkode fra 1.12.2011;;
356;;1;Sudan;;;;
357;;1;Eswatini;Eswatini;;;
359;;1;S�r-Afrika;;;;
369;;1;Tanzania;;;;
373;;1;Tsjad;;;;
376;;1;Togo;;;;
379;;1;Tunisia;;;;
386;;1;Uganda;;;;
389;;1;Zambia;;;;
393;;1;Burkina Faso;;;;
404;;1;Afghanistan;;;;
406;;1;Armenia;;;;
407;;1;Aserbajdsjan;;;;
409;;1;Bahrain;;;;
410;;1;Bangladesh;;;;
412;;1;Bhutan;;;;
416;;1;Brunei;;;;
420;;1;Myanmar;;Ogs� kjent som Myanmar.;;
424;;1;Sri Lanka;;;;
426;;1;De forente arabiske emirater;;;;
428;;1;Filippinene;;;;
430;;1;Georgia;;;;
432;;1;Taiwan;;;;
436;;1;Hongkong;;;;
444;;1;India;;;;
448;;1;Indonesia;;;;
452;;1;Irak;;;;
456;;1;Iran;;;;
460;;1;Israel;;;;
464;;1;Japan;;;;
476;;1;Jordan;;;;
478;;1;Kambodsja;;;;
480;;1;Kasakhstan;;;;
484;;1;Kina;;;;
488;;1;Nord-Korea;;;;
492;;1;S�r-Korea;;;;
496;;1;Kuwait;;;;
500;;1;Kypros;;;;
502;;1;Kirgisistan;;;;
504;;1;Laos;;;;
508;;1;Libanon;;;;
510;;1;Macao;;;;
512;;1;Malaysia;;;;
513;;1;Maldivene;;;;
516;;1;Mongolia;;;;
520;;1;Oman;;;;
524;;1;Palestina;;;;
528;;1;Nepal;;;;
534;;1;Pakistan;;;;
537;;1;�st-Timor;;;;
540;;1;Qatar;;;;
544;;1;Saudi-Arabia;;;;
548;;1;Singapore;;;;
550;;1;Tadsjikistan;;;;
552;;1;Turkmenistan;;;;
554;;1;Usbekistan;;;;
564;;1;Syria;;;;
568;;1;Thailand;;;;
575;;1;Vietnam;;;;
578;;1;Jemen;;;;
601;;1;De amerikanske Jomfru�yene;;;;
602;;1;Barbados;;;;
603;;1;Antigua og Barbuda;;;;
604;;1;Belize;;;;
605;;1;Bahamas;;;;
606;;1;Bermuda;;;;
608;;1;De britiske Jomfru�yene;;;;
612;;1;Canada;;;;
613;;1;Cayman�yene;;;;
616;;1;Costa Rica;;;;
620;;1;Cuba;;;;
622;;1;Dominica;;;;
624;;1;Den dominikanske republikk;;;;
629;;1;Grenada;;;;
631;;1;Guadeloupe;;;;
632;;1;Guatemala;;;;
636;;1;Haiti;;;;
644;;1;Honduras;;;;
648;;1;Jamaica;;;;
650;;1;Martinique;;;;
652;;1;Mexico;;;;
654;;1;Montserrat;;;;
657;;1;Aruba;;;;
658;;1;Sint Maarten;;Ny landkode fra 1.12.2011;;
659;;1;Bonaire, Sint Eustatius og Saba;;Ny landkode fra 1.12.2011;;
660;;1;Anguilla;;;;
661;;1;Cura�ao;;Ny landkode fra 1.12.2011;;
